Condition,Frequency,Block,TimingFile,TaskObject1,TaskObject2,TaskObject3,Position
507,1,4,FAC2_touch_v0,200,"pic(big01x1.2_14,10,0)","pic(s01_128_09,-10,0)",right
508,1,4,FAC2_touch_v0,200,"pic(big02x1.2_12,-10,0)","pic(s02_128_14,10,0)",left
509,1,4,FAC2_touch_v0,200,"pic(big01x1.2_04,10,0)","pic(s01_128_02,-10,0)",right
510,1,4,FAC2_touch_v0,200,"pic(big02x1.2_01,-10,0)","pic(s02_128_02,10,0)",left
511,1,4,FAC2_touch_v0,200,"pic(big03x1.2_02,10,0)","pic(s03_128_13,-10,0)",right
512,1,4,FAC2_touch_v0,200,"pic(big04x1.2_11,-10,0)","pic(s04_128_05,10,0)",left
513,1,5,FAC2_touch_v0,200,"pic(big02x1.4_12,10,0)","pic(s02_128_08,-10,0)",right
514,1,5,FAC2_touch_v0,200,"pic(big04x1.2_08,10,0)","pic(s04_128_01,-10,0)",right
515,1,5,FAC2_touch_v0,200,"pic(big02x1.3_04,-10,0)","pic(s02_128_14,10,0)",left
516,1,5,FAC2_touch_v0,200,"pic(big03x1.5_05,10,0)","pic(s03_128_13,-10,0)",right
517,1,5,FAC2_touch_v0,200,"pic(big02x1.4_05,10,0)","pic(s02_128_11,-10,0)",right
518,1,5,FAC2_touch_v0,200,"pic(big04x1.3_13,-10,0)","pic(s04_128_15,10,0)",left
519,1,5,FAC2_touch_v0,200,"pic(big04x1.2_15,-10,0)","pic(s04_128_01,10,0)",left
520,1,5,FAC2_touch_v0,200,"pic(big03x1.5_14,10,0)","pic(s03_128_09,-10,0)",right
521,1,5,FAC2_touch_v0,200,"pic(big03x1.3_10,-10,0)","pic(s03_128_13,10,0)",left
522,1,5,FAC2_touch_v0,200,"pic(big02x1.2_06,-10,0)","pic(s02_128_16,10,0)",left
523,1,5,FAC2_touch_v0,200,"pic(big01x1.5_02,-10,0)","pic(s01_128_11,10,0)",left
524,1,5,FAC2_touch_v0,200,"pic(big01x1.4_07,10,0)","pic(s01_128_13,-10,0)",right
525,1,5,FAC2_touch_v0,200,"pic(big04x1.2_12,-10,0)","pic(s04_128_12,10,0)",left
526,1,5,FAC2_touch_v0,200,"pic(big04x1.5_01,10,0)","pic(s04_128_03,-10,0)",right
527,1,5,FAC2_touch_v0,200,"pic(big04x1.4_12,10,0)","pic(s04_128_05,-10,0)",right
528,1,5,FAC2_touch_v0,200,"pic(big03x1.3_01,-10,0)","pic(s03_128_04,10,0)",left
529,1,5,FAC2_touch_v0,200,"pic(big01x1.4_01,10,0)","pic(s01_128_14,-10,0)",right
530,1,5,FAC2_touch_v0,200,"pic(big02x1.2_07,10,0)","pic(s02_128_12,-10,0)",right
531,1,5,FAC2_touch_v0,200,"pic(big01x1.3_10,-10,0)","pic(s01_128_03,10,0)",left
532,1,5,FAC2_touch_v0,200,"pic(big02x1.5_11,-10,0)","pic(s02_128_01,10,0)",left
533,1,5,FAC2_touch_v0,200,"pic(big03x1.3_14,10,0)","pic(s03_128_13,-10,0)",right
534,1,5,FAC2_touch_v0,200,"pic(big04x1.4_07,-10,0)","pic(s04_128_11,10,0)",left
535,1,5,FAC2_touch_v0,200,"pic(big03x1.2_13,10,0)","pic(s03_128_09,-10,0)",right
536,1,5,FAC2_touch_v0,200,"pic(big01x1.5_12,10,0)","pic(s01_128_11,-10,0)",right
537,1,5,FAC2_touch_v0,200,"pic(big04x1.5_04,10,0)","pic(s04_128_01,-10,0)",right
538,1,5,FAC2_touch_v0,200,"pic(big03x1.4_13,-10,0)","pic(s03_128_10,10,0)",left
539,1,5,FAC2_touch_v0,200,"pic(big01x1.2_15,-10,0)","pic(s01_128_01,10,0)",left
540,1,5,FAC2_touch_v0,200,"pic(big03x1.3_01,10,0)","pic(s03_128_09,-10,0)",right
541,1,5,FAC2_touch_v0,200,"pic(big03x1.4_12,10,0)","pic(s03_128_07,-10,0)",right
542,1,5,FAC2_touch_v0,200,"pic(big02x1.3_01,10,0)","pic(s02_128_10,-10,0)",right
543,1,5,FAC2_touch_v0,200,"pic(big04x1.5_05,-10,0)","pic(s04_128_13,10,0)",left
544,1,5,FAC2_touch_v0,200,"pic(big04x1.2_03,10,0)","pic(s04_128_04,-10,0)",right
545,1,5,FAC2_touch_v0,200,"pic(big04x1.4_09,-10,0)","pic(s04_128_01,10,0)",left
546,1,5,FAC2_touch_v0,200,"pic(big01x1.2_12,-10,0)","pic(s01_128_08,10,0)",left
547,1,5,FAC2_touch_v0,200,"pic(big04x1.3_08,10,0)","pic(s04_128_11,-10,0)",right
548,1,5,FAC2_touch_v0,200,"pic(big02x1.5_02,10,0)","pic(s02_128_12,-10,0)",right
549,1,5,FAC2_touch_v0,200,"pic(big02x1.5_10,-10,0)","pic(s02_128_15,10,0)",left
550,1,5,FAC2_touch_v0,200,"pic(big04x1.4_14,10,0)","pic(s04_128_09,-10,0)",right
551,1,5,FAC2_touch_v0,200,"pic(big02x1.3_01,-10,0)","pic(s02_128_11,10,0)",left
552,1,5,FAC2_touch_v0,200,"pic(big03x1.2_02,-10,0)","pic(s03_128_10,10,0)",left
553,1,5,FAC2_touch_v0,200,"pic(big02x1.5_16,10,0)","pic(s02_128_15,-10,0)",right
554,1,5,FAC2_touch_v0,200,"pic(big01x1.2_15,10,0)","pic(s01_128_11,-10,0)",right
555,1,5,FAC2_touch_v0,200,"pic(big01x1.4_15,-10,0)","pic(s01_128_02,10,0)",left
556,1,5,FAC2_touch_v0,200,"pic(big04x1.3_09,10,0)","pic(s04_128_13,-10,0)",right
557,1,5,FAC2_touch_v0,200,"pic(big01x1.4_12,-10,0)","pic(s01_128_03,10,0)",left
558,1,5,FAC2_touch_v0,200,"pic(big02x1.2_09,-10,0)","pic(s02_128_05,10,0)",left
559,1,5,FAC2_touch_v0,200,"pic(big01x1.3_15,10,0)","pic(s01_128_04,-10,0)",right
560,1,5,FAC2_touch_v0,200,"pic(big01x1.5_14,-10,0)","pic(s01_128_14,10,0)",left
561,1,5,FAC2_touch_v0,200,"pic(big03x1.5_15,-10,0)","pic(s03_128_04,10,0)",left
562,1,5,FAC2_touch_v0,200,"pic(big04x1.3_01,-10,0)","pic(s04_128_13,10,0)",left
563,1,5,FAC2_touch_v0,200,"pic(big01x1.2_06,10,0)","pic(s01_128_01,-10,0)",right
564,1,5,FAC2_touch_v0,200,"pic(big02x1.4_15,-10,0)","pic(s02_128_14,10,0)",left
565,1,5,FAC2_touch_v0,200,"pic(big03x1.2_09,-10,0)","pic(s03_128_01,10,0)",left
566,1,5,FAC2_touch_v0,200,"pic(big03x1.5_13,-10,0)","pic(s03_128_09,10,0)",left
567,1,5,FAC2_touch_v0,200,"pic(big02x1.3_10,10,0)","pic(s02_128_13,-10,0)",right
568,1,5,FAC2_touch_v0,200,"pic(big03x1.4_10,10,0)","pic(s03_128_10,-10,0)",right
569,1,5,FAC2_touch_v0,200,"pic(big03x1.4_11,-10,0)","pic(s03_128_03,10,0)",left
570,1,5,FAC2_touch_v0,200,"pic(big01x1.3_03,10,0)","pic(s01_128_02,-10,0)",right
571,1,5,FAC2_touch_v0,200,"pic(big04x1.5_12,-10,0)","pic(s04_128_14,10,0)",left
572,1,5,FAC2_touch_v0,200,"pic(big02x1.2_09,10,0)","pic(s02_128_02,-10,0)",right
573,1,5,FAC2_touch_v0,200,"pic(big03x1.2_10,10,0)","pic(s03_128_15,-10,0)",right
574,1,5,FAC2_touch_v0,200,"pic(big01x1.3_16,-10,0)","pic(s01_128_16,10,0)",left
575,1,5,FAC2_touch_v0,200,"pic(big02x1.4_04,-10,0)","pic(s02_128_15,10,0)",left
576,1,5,FAC2_touch_v0,200,"pic(big01x1.5_16,10,0)","pic(s01_128_07,-10,0)",right
